seq,time_sent,time_received,OWD
0,1757509716435163904.000000000,1757509716435301888.000000000,137984.000
1,1757509716540194048.000000000,1757509716540349952.000000000,155904.000
2,1757509716640225024.000000000,1757509716640436992.000000000,211968.000
3,1757509716737444096.000000000,1757509716737705984.000000000,261888.000
4,1757509716840212992.000000000,1757509716840442112.000000000,229120.000
5,1757509716937498112.000000000,1757509716937722880.000000000,224768.000
6,1757509717040199936.000000000,1757509717040409088.000000000,209152.000
7,1757509717138563072.000000000,1757509717138726912.000000000,163840.000
8,1757509717240204032.000000000,1757509717240435968.000000000,231936.000
9,1757509717340200960.000000000,1757509717340431104.000000000,230144.000
