scenario,link_setup,tcp_flavor,background,bidir,runs_count,mean_throughput_mbps,p90_throughput_mbps,p95_throughput_mbps,mean_rtt_ms,p90_rtt_ms,p95_rtt_ms,loss_percent,median_cwnd_bytes,p95_cwnd_bytes
baseline,ETH-WiFi,BBR,none,no,2.0,626.1195,667.0084999999999,670.181,22.3235,35.97,40.095,1.631e-07,1193.5,
baseline,ETH-WiFi,CUBIC,none,no,2.0,656.1890000000001,679.1310000000001,681.1275,29.314,41.900000000000006,46.855000000000004,0.1672242033,2305.0,
baseline,ETH-WiFi,Reno,none,no,2.0,654.9794999999999,675.842,678.0550000000001,26.355,38.620000000000005,44.045,1.332e-07,1085.5,
baseline,ETH-WiFi,Vegas,none,no,2.0,140.068,148.4765,149.983,4.4655000000000005,5.599,6.1955,1.1e-07,11.0,
baseline,WiFi-WiFi,BBR,none,no,2.0,269.1335,304.73,308.85,37.3335,45.495000000000005,68.1575,1.839465926,1608.5,
baseline,WiFi-WiFi,CUBIC,none,no,2.0,270.985,307.3035,312.6005,33.061,42.97,57.37,0.8361208845000001,1016.0,
baseline,WiFi-WiFi,Reno,none,no,2.0,258.27,299.79650000000004,308.3585,24.2855,33.92,46.58,0.6688964024999999,1039.0,
baseline,WiFi-WiFi,Vegas,none,no,2.0,55.832499999999996,100.2265,104.35849999999999,159.6905,421.934,450.745,1.5306121,35.5,
heavyBG,ETH-WiFi,BBR,heavy,no,2.0,81.8195,161.034,187.55849999999998,35.4625,50.614999999999995,56.1275,3.177257672,458.0,
heavyBG,ETH-WiFi,BBR,heavy,yes,2.0,26.336,43.1085,50.37,45.8265,61.019999999999996,70.93,3.3444819729999997,216.0,
heavyBG,ETH-WiFi,CUBIC,heavy,no,2.0,193.975,397.9375,488.60799999999995,32.408,46.305,52.6375,2.5083611,10.0,
heavyBG,ETH-WiFi,CUBIC,heavy,yes,2.0,79.4105,121.804,130.077,39.3125,51.010000000000005,58.575,1.3377926729999998,162.0,
heavyBG,ETH-WiFi,Reno,heavy,no,2.0,98.957,123.12,131.322,32.275999999999996,46.25,51.3875,4.013377685,255.0,
heavyBG,ETH-WiFi,Vegas,heavy,no,2.0,37.319500000000005,41.4135,42.012,5.9745,7.170999999999999,7.672499999999999,1.1e-07,11.0,
heavyBG,WiFi-WiFi,BBR,heavy,no,2.0,30.622500000000002,53.45,88.7945,107.6335,202.1,347.15,5.704698245,383.0,
heavyBG,WiFi-WiFi,BBR,heavy,yes,2.0,23.2165,41.0115,47.735,137.94150000000002,337.85,484.35,3.6912758615000003,619.5,
heavyBG,WiFi-WiFi,CUBIC,heavy,no,2.0,34.344,60.3995,90.2345,116.1515,284.95,425.925,5.8724831605,301.0,
heavyBG,WiFi-WiFi,CUBIC,heavy,yes,2.0,24.7265,41.938500000000005,61.911,144.087,331.79999999999995,511.17499999999995,3.859060663,337.0,
heavyBG,WiFi-WiFi,Reno,heavy,no,2.0,27.119500000000002,37.289500000000004,46.7765,86.6385,194.8,298.5,3.67893001,147.0,
heavyBG,WiFi-WiFi,Vegas,heavy,no,2.0,16.697499999999998,21.542,22.6495,20.0925,29.1,69.915,1.45e-07,20.5,
lightBG,ETH-WiFi,BBR,light,no,2.0,57.167,91.79599999999999,143.185,37.965999999999994,50.485,58.2425,4.347826136,470.0,
lightBG,ETH-WiFi,CUBIC,light,no,2.0,218.0925,390.381,433.672,32.761,46.36,52.7875,0.8361207595,692.5,
lightBG,ETH-WiFi,Reno,light,no,2.0,106.1385,123.0855,132.6045,30.913,43.695,48.4725,0.16722419000000002,220.0,
lightBG,ETH-WiFi,Vegas,light,no,2.0,36.821,40.352000000000004,41.960499999999996,5.879,7.147,7.499499999999999,1.1e-07,11.0,
lightBG,WiFi-WiFi,BBR,light,no,2.0,39.3785,56.3125,61.8495,104.8995,218.85,310.15,5.2013428049999995,368.5,
lightBG,WiFi-WiFi,CUBIC,light,no,2.0,24.664,37.19,48.933,106.638,215.45,334.825,5.369127605499999,317.5,
lightBG,WiFi-WiFi,Reno,light,no,2.0,22.323,29.894,36.879000000000005,99.37,235.95,391.825,4.53020144,187.5,
lightBG,WiFi-WiFi,Vegas,light,no,2.0,18.5315,24.163,25.192,17.931,36.86,68.305,1.7e-07,27.5,
